filename,clean_width_mm,clean_class,shadowed_width_mm,shadowed_class,restored_width_mm,restored_class
00037,1.4000000000000001,Medium Crack,15.118200951171406,Heavy Crack,1.341640786499874,Medium Crack
00038,1.019803902718557,Medium Crack,15.264337522473747,Heavy Crack,1.2000000000000002,Medium Crack
00039,1.264911064067352,Medium Crack,12.059850745345068,Heavy Crack,2.60768096208106,Heavy Crack
00040,0.8246211251235321,Light Crack,15.784802817900513,Heavy Crack,1.2000000000000002,Medium Crack
00041,1.2000000000000002,Medium Crack,13.219682295728592,Heavy Crack,3.492849839314596,Heavy Crack
00042,2.2,Heavy Crack,15.16047492659778,Heavy Crack,2.433105012119288,Heavy Crack
00043,1.969771560359221,Medium Crack,14.369411957348845,Heavy Crack,1.6124515496597098,Medium Crack
00044,1.6124515496597098,Medium Crack,13.219682295728592,Heavy Crack,1.788854381999832,Medium Crack
00045,1.2000000000000002,Medium Crack,11.684177335182824,Heavy Crack,1.0770329614269007,Medium Crack
00046,1.2806248474865698,Medium Crack,13.248396129343357,Heavy Crack,1.4142135623730951,Medium Crack
00047,1.2806248474865698,Medium Crack,9.602083107326244,Heavy Crack,1.264911064067352,Medium Crack
00048,1.2000000000000002,Medium Crack,16.546903033498445,Heavy Crack,1.2000000000000002,Medium Crack
00049,2.12602916254693,Heavy Crack,11.244554237496478,Heavy Crack,2.4413111231467406,Heavy Crack
00050,2.12602916254693,Heavy Crack,12.669648771769484,Heavy Crack,1.8973665961010278,Medium Crack
00051,0.8,Light Crack,11.879393923933998,Heavy Crack,6.161168720299745,Heavy Crack
00052,1.6124515496597098,Medium Crack,10.231324449942932,Heavy Crack,1.8973665961010278,Medium Crack
00053,1.5231546211727818,Medium Crack,15.53962676514465,Heavy Crack,1.969771560359221,Medium Crack
00054,1.4142135623730951,Medium Crack,12.894960255851897,Heavy Crack,1.8973665961010278,Medium Crack
00055,7.720103626247513,Heavy Crack,23.537204591879643,Heavy Crack,4.0,Heavy Crack
00056,7.3348483283569,Heavy Crack,18.852055590836773,Heavy Crack,3.8470768123342687,Heavy Crack
00057,10.75174404457249,Heavy Crack,20.09975124224178,Heavy Crack,5.035871324805669,Heavy Crack
00058,6.896375859826667,Heavy Crack,18.253766734567417,Heavy Crack,4.294182110716778,Heavy Crack
00059,7.789736837660179,Heavy Crack,16.975276139138355,Heavy Crack,2.683281572999748,Heavy Crack
