filename,clean_width_mm,clean_class,blurred_width_mm,blurred_class,restored_width_mm,restored_class
00149,6.55133574166368,Heavy Crack,10.252804494381039,Heavy Crack,4.0,Heavy Crack
00150,4.079215610874228,Heavy Crack,8.160882305241266,Heavy Crack,4.019950248448356,Heavy Crack
00151,5.813776741499454,Heavy Crack,9.193475947648963,Heavy Crack,4.123105625617661,Heavy Crack
00152,4.870318264754369,Heavy Crack,5.830951894845301,Heavy Crack,4.6000000000000005,Heavy Crack
00153,5.813776741499454,Heavy Crack,8.988882021697693,Heavy Crack,5.385164807134505,Heavy Crack
00154,4.770744176750625,Heavy Crack,5.560575509783138,Heavy Crack,4.8373546489791295,Heavy Crack
00155,4.870318264754369,Heavy Crack,6.794115100585213,Heavy Crack,4.8083261120685235,Heavy Crack
00156,3.492849839314596,Heavy Crack,5.546169849544819,Heavy Crack,3.82099463490856,Heavy Crack
00157,4.560701700396552,Heavy Crack,8.402380615040002,Heavy Crack,4.753945729601885,Heavy Crack
00158,5.885575587824865,Heavy Crack,7.789736837660179,Heavy Crack,4.669047011971501,Heavy Crack
00159,5.556977595779922,Heavy Crack,9.374433316206373,Heavy Crack,7.924645102463581,Heavy Crack
00160,6.161168720299745,Heavy Crack,11.93314711214104,Heavy Crack,5.96657355607052,Heavy Crack
00161,5.546169849544819,Heavy Crack,8.395236744726143,Heavy Crack,5.720139858430037,Heavy Crack
00162,4.770744176750625,Heavy Crack,11.28716084761797,Heavy Crack,4.882622246293481,Heavy Crack
00163,5.414794548272354,Heavy Crack,11.303096920755834,Heavy Crack,3.8470768123342687,Heavy Crack
00164,4.560701700396552,Heavy Crack,6.684309986827362,Heavy Crack,3.82099463490856,Heavy Crack
00165,4.123105625617661,Heavy Crack,9.108238029388561,Heavy Crack,3.560898762952972,Heavy Crack
00166,4.947726750741193,Heavy Crack,9.808159868191384,Heavy Crack,5.126402247190519,Heavy Crack
00167,3.720215047547655,Heavy Crack,5.249761899362675,Heavy Crack,3.6715119501371642,Heavy Crack
00168,7.0710678118654755,Heavy Crack,14.714618581533129,Heavy Crack,6.105735008989499,Heavy Crack
00169,5.440588203494178,Heavy Crack,18.487833837418595,Heavy Crack,5.188448708429139,Heavy Crack
00170,5.2839379254491625,Heavy Crack,9.651942809610924,Heavy Crack,5.0039984012787215,Heavy Crack
00171,4.951767361255979,Heavy Crack,14.64923206178399,Heavy Crack,4.0,Heavy Crack
00172,5.047771785649585,Heavy Crack,12.702755606560334,Heavy Crack,4.841487374764082,Heavy Crack
00173,5.110772935672255,Heavy Crack,7.76659513557904,Heavy Crack,5.126402247190519,Heavy Crack
00174,3.9293765408777,Heavy Crack,7.871467461661772,Heavy Crack,3.984971769034255,Heavy Crack
00175,4.049691346263318,Heavy Crack,5.047771785649585,Heavy Crack,4.0,Heavy Crack
00176,3.720215047547655,Heavy Crack,6.092618484691127,Heavy Crack,3.6055512754639896,Heavy Crack
00177,3.720215047547655,Heavy Crack,10.031948963187563,Heavy Crack,3.6715119501371642,Heavy Crack
00178,7.155417527999328,Heavy Crack,12.0,Heavy Crack,6.04648658313239,Heavy Crack
00179,4.308131845707603,Heavy Crack,5.936328831862332,Heavy Crack,3.720215047547655,Heavy Crack
00180,4.294182110716778,Heavy Crack,5.727128425310542,Heavy Crack,3.8470768123342687,Heavy Crack
00181,3.6055512754639896,Heavy Crack,4.9396356140913875,Heavy Crack,3.6,Heavy Crack
00182,3.939543120718442,Heavy Crack,7.636753236814714,Heavy Crack,3.4985711369071804,Heavy Crack
00183,4.6173585522460785,Heavy Crack,9.701546268507924,Heavy Crack,3.3526109228480423,Heavy Crack
00184,3.9446165846632044,Heavy Crack,11.682465493208188,Heavy Crack,4.317406628984581,Heavy Crack
00185,2.8844410203711917,Heavy Crack,14.42497833620557,Heavy Crack,2.80713376952364,Heavy Crack
00186,3.88329756778952,Heavy Crack,15.243359209832983,Heavy Crack,3.0463092423455636,Heavy Crack
00187,5.091168824543143,Heavy Crack,15.566630977832038,Heavy Crack,5.047771785649585,Heavy Crack
00188,3.1240998703626617,Heavy Crack,4.123105625617661,Heavy Crack,3.130495168499706,Heavy Crack
00189,5.099019513592785,Heavy Crack,16.308280105516953,Heavy Crack,5.091168824543143,Heavy Crack
00190,4.525483399593905,Heavy Crack,17.750492950901393,Heavy Crack,4.317406628984581,Heavy Crack
00191,6.826419266350405,Heavy Crack,21.920766409959302,Heavy Crack,3.82099463490856,Heavy Crack
00192,4.870318264754369,Heavy Crack,5.96657355607052,Heavy Crack,5.830951894845301,Heavy Crack
00193,8.335466393669883,Heavy Crack,15.921055241409096,Heavy Crack,6.539113089708727,Heavy Crack
00194,6.356099432828282,Heavy Crack,14.969301920931384,Heavy Crack,6.118823416311343,Heavy Crack
00195,5.578530272392541,Heavy Crack,16.208639671483848,Heavy Crack,2.0,Medium Crack
00196,4.3266615305567875,Heavy Crack,17.422973339817748,Heavy Crack,2.08806130178211,Heavy Crack
00197,6.390618123468183,Heavy Crack,18.531055015837605,Heavy Crack,2.3323807579381204,Heavy Crack
00198,7.3348483283569,Heavy Crack,15.494515158597252,Heavy Crack,2.8844410203711917,Heavy Crack
00199,6.118823416311343,Heavy Crack,15.388307249337075,Heavy Crack,4.741307836451879,Heavy Crack
00200,4.903060268852506,Heavy Crack,6.016643582596529,Heavy Crack,5.385164807134505,Heavy Crack
00201,8.229216244576394,Heavy Crack,16.419500601419035,Heavy Crack,8.373768566183328,Heavy Crack
00202,7.602631123499285,Heavy Crack,14.686047800548657,Heavy Crack,8.091971329657564,Heavy Crack
00203,6.675327707311455,Heavy Crack,16.64692163734785,Heavy Crack,3.423448553724738,Heavy Crack
00204,7.280109889280519,Heavy Crack,32.102959365142645,Heavy Crack,3.2249030993194197,Heavy Crack
00205,7.09365914038728,Heavy Crack,18.784035775093702,Heavy Crack,2.668332812825267,Heavy Crack
00206,4.25205832509386,Heavy Crack,15.929846201391904,Heavy Crack,3.3526109228480423,Heavy Crack
00207,3.3105890714493698,Heavy Crack,4.39089968002003,Heavy Crack,3.3105890714493698,Heavy Crack
00208,4.237924020083418,Heavy Crack,18.471599822430107,Heavy Crack,2.683281572999748,Heavy Crack
00209,2.863564212655271,Heavy Crack,4.024922359499622,Heavy Crack,3.2,Heavy Crack
00210,2.863564212655271,Heavy Crack,4.947726750741193,Heavy Crack,2.8844410203711917,Heavy Crack
00211,3.1240998703626617,Heavy Crack,4.044749683231337,Heavy Crack,2.863564212655271,Heavy Crack
00212,2.785677655436824,Heavy Crack,6.315061361538778,Heavy Crack,2.683281572999748,Heavy Crack
00213,3.8470768123342687,Heavy Crack,6.985699678629192,Heavy Crack,4.123105625617661,Heavy Crack
00214,2.8284271247461903,Heavy Crack,10.825894882179487,Heavy Crack,2.2,Heavy Crack
00215,2.60768096208106,Heavy Crack,6.095900261651269,Heavy Crack,1.788854381999832,Medium Crack
00216,2.8425340807103794,Heavy Crack,7.992496481075235,Heavy Crack,2.6,Heavy Crack
00217,3.8052595180880893,Heavy Crack,7.025667228100119,Heavy Crack,4.118252056394801,Heavy Crack
00218,3.687817782917155,Heavy Crack,6.6211781428987395,Heavy Crack,3.6,Heavy Crack
00219,4.753945729601885,Heavy Crack,7.76659513557904,Heavy Crack,4.294182110716778,Heavy Crack
00220,4.707440918375928,Heavy Crack,12.650691680694777,Heavy Crack,3.88329756778952,Heavy Crack
00221,4.47213595499958,Heavy Crack,9.61873172512884,Heavy Crack,3.7947331922020555,Heavy Crack
00222,4.604345773288535,Heavy Crack,11.26410227226298,Heavy Crack,3.0463092423455636,Heavy Crack
00223,6.08276253029822,Heavy Crack,10.846197490365,Heavy Crack,6.45600495662759,Heavy Crack
00224,8.676404785393546,Heavy Crack,10.64518670573701,Heavy Crack,9.138927727036691,Heavy Crack
00225,7.467261881037789,Heavy Crack,8.0049984384758,Heavy Crack,8.099382692526635,Heavy Crack
00226,11.8,Heavy Crack,12.033287165193059,Heavy Crack,9.60832971957145,Heavy Crack
00227,11.684177335182824,Heavy Crack,12.77810627597063,Heavy Crack,6.260990336999412,Heavy Crack
00228,9.767292357659825,Heavy Crack,10.200000000000001,Heavy Crack,6.942621983083914,Heavy Crack
00229,5.122499389946279,Heavy Crack,13.243866504914644,Heavy Crack,4.204759208325728,Heavy Crack
00230,3.6055512754639896,Heavy Crack,11.322543883774529,Heavy Crack,3.0594117081556713,Heavy Crack
00231,3.82099463490856,Heavy Crack,9.178235124467014,Heavy Crack,2.433105012119288,Heavy Crack
00232,3.5383612025908264,Heavy Crack,6.212889826803627,Heavy Crack,2.8000000000000003,Heavy Crack
00233,3.82099463490856,Heavy Crack,10.200000000000001,Heavy Crack,3.8470768123342687,Heavy Crack
